title,review,rating,value,service,location,rooms,cleanliness,sleep_quality,label
Friendly and relaxing,"We stayed in Tryfan Cottage, Red Dragon Holidays, Beddgelert for a super relaxing weekend. It was a great location with outstanding views looking out to a gorgeous forest and a 200 year old tree. This traditional cottage had everything our family needed for a lovely break. The owner was informal and informative and went out of his way to make our stay stress free.",5,5.0,5.0,5.0,3.0,5.0,5.0,OR
Short and sweet stay,"Arrived late on the Friday night & had no issues with finding the pod and getting settled right away. 
The pod was lit up and warm waiting for our arrival. Anthony came to greet us and provided us with some local knowledge. 
The pod was as expected & came with a heater which was needed in this cold weather! The bathrooms were better than basic, warm hot showers in their own bathroom space with toilet and sink.
Would definitely stay again.",5,5.0,5.0,5.0,,,,OR
2 night stay,"Lovely camping pod duvet very warm indeed had a great welcome lots of information of Antony about the area and he kindly showed us the bigger ones as we are interested in going back later in the year
Beddgelert was beautiful fantastic Sunday lunch at saracens head in village
Had a great time",5,5.0,5.0,5.0,,,,OR
Spectacular Snowdon with comfort,"This was my 4th visit to Red Dragon. Think that says it all really. It's a place you just can't keep from coming back. Stayed in Arran cottage this time, but have stayed in Snowdon too. 
The beds are lush with duvets you can get lost in. 
For this type of quailty, location and friendly accommodation, I have yet to find anything cheaper. 
This place should be kept a secret (sssshhh).
Did some great hiking on this trip. The location is so perfect, only 300m from the Watkin path. 
On this trip we went up the Pyg track and came down Watkins, then tried out the great pubs in Beddgelert. 
Also the perfect start for the Fisherman's path through Beddgelert. 
Went for a sunrise hike which looped back in time for a magnificient Welsh breakfast at the nearby Nant Gwynant cafe.
Fab place to stay. Already planning my next visit",5,,,,,,,OR
Pods,"Pods
Just lovely. This is the second time I am coming to this place. 
Me and my family really enjoyed the time spent at this place. 
Because is pet free we could bring with us the entire family which adds 2 cats. 
My daughter loves having animals around here.",5,5.0,5.0,5.0,,,,OR
Amazing,"Absolutely loved the glamping pod would definitely recommend them. 
Very comfy beds lovely bedding requested as an extra. 
Pet friendly took my staffy again on request at a small fee very reasonable
WiFi also at a small extra cost.
There is a microwave and toaster in a separate space on site
There was also laundry facilities that you could use
Bathrooms are very nice just the right size allocated to your pod.
Anthony is very helpful chap",5,5.0,5.0,5.0,,,,OR
Red dragon’s a winner,"My son and I stayed in the middle of November. The location is fabulous, a five minute walk to the beginning of the Watkins path at the base of Snowdon. The pods themselves are great, and cope with all the weather that the late Welsh autumn threw at us (and boy did it rain!) Electricity points, a heater, kettle etc, and enough room for a serious board game evening, we would definitely consider staying again.",5,5.0,5.0,5.0,,,,OR
Great location to meet up with a group of friends,"We’ve had a fantastic meet up weekend with uni friends, hosted by Tony. We stayed in the cottage called Aran - great space for us all to meet, share food etc. Others stayed in other cottages and pods. Clean, comfortable, plenty of space. Great location for outdoor activities - some climbed and others walked. Next year some of us may even swim in the local lake. Great views and the Watkins path is in easy reach too. Cafe Gwynant does a good breakfast.
We will definitely be back next year!",5,5.0,5.0,5.0,,,,OR
Had a great time!,"Amazing location! If you are looking for a nature escape, this is the place to book. Staff are exceptional and always ready to help. My brother and dad had a great time exploring the surrounding area. Also amazing if you are looking to hike up Snowdon.",5,,,,,,,OR
Our Great Snowdon Adventure.,"Stayed in a pod here when we went on a company charity hike up Snowdon, It was great to actually meet Anthony and for him to be on site when we arrived and available thereafter. The pod i Stayed in with my husband was the one closest to the road and whilst the traffic could be heard through the pod it really didn't bother us. the pods are basic but clean they have plenty of plug sockets to use too. The shared bathrooms were clean and had what you needed.
As a collective we hired pods and the lodge for the weekend, I did slip on the decking outside the lodge which wasn't ideal, and so would recommend people take extra care on the decking, but whilst a shock to the system this had no poor bearing on our stay.
Whilst we didn't take our dog, the pods are dog friendly and so I can imagine this to be a lovely little safe place for your dog.
The heater in the pod was very effective it warmed the pod a treat and the lighting was very good also.
Thank you!",5,5.0,5.0,5.0,,,,OR
Great location at the base of Snowdonia and perfect for a group getaway,"As a returning guest, I was very happy to recommend and take my work colleagues to the Red Dragon Holidays as a perfect accommodation base for our company Dawsons charity hike up Snowdon in September 2023.
As always, we had a lovely warm welcome from the owner Anthony who was equipped to be on hand for our needs. Before our Red Dragon trip, Anthony was always at the other end of the phone should we have any queries up until arrival with the 13 of us.
We booked 4 pods, the Dragons Lair and Dragons Den which was a perfect opportunity to host our large group.
A massive thank you to Anthony and I look forward to booking my next stay.",5,,,,,,,OR
3 nights in the Dragon's Lair,"Even before arriving I rang beforehand to add wifi for our room. I would definitely recommend doing this, as its fairly cheap and it allowed us to contact family and get directions, as it was stated that there would be no signal. The owner, Anthony, was very helpful and gave me an abundance of information on the area and info regarding climbing Snowdon (the location of this pod is amazing if you want to climb Snowdon)
My two friends and I arrived at Bryn Dinas camping pods after having previously stayed for a night in Dolgellau. We booked the Dragons Lair. I was shocked at first to see that it was situated on the side of the road, however it did look very inviting. We parked on the side of the road, close to enternace, not too far to take our belongings.
We were delighted with our accommodation and it was perfect for the three of us. It had four bunk beds with bedding, toilet and shower (very warm and powerful), microwave, kettle, hairdryer, and tea and coffee making facilities. It was small and compact but plenty of room for all of our things. The little heater in the room was an added bonus and the bedding was so thick and cozy, we never felt cold despite being in the woods.
Although our room didn't have any other kitchen facilities, there was a shared hut that had a toaster, another microwave, fridge, and washing facilties. The shared fridge was helpful as we could store milk and yogurt etc.
There was also a laundrette room, which we thought was handy.
The fairy lights were very sweet in the evening and there was a place at the bottom of the camp where we could set up our little travel gas stove, so we were able to make some pasta and toast marshmallows.
We saw Anthony who again was very kind and very welcoming, offering more advice and couldn't be more happy to help us. We definitely recommend. Very clean and compact. Loved every minute. Check our Cafi Gwynant, 1 minuite walk from the camp, they serve fab coffee!!",5,,,,,,,OR
Perfect base near Snowdon and Beddgelert,"Stayed in one of the cabins. Good heating, comfortable bed, great showers, warm duvet & pillow (extra) and basic cooking facilities. 
Had a great weekend - Snowdon on Saturday via the Watkin Path (a short walk along the road to the start of the path) and some great food at the nearby cafe and over at Beddgelert.",5,4.0,5.0,4.0,,,,OR
Ideal base near Snowdon and Beddgelert,"Stayed in one of the cabins. Good heating, comfortable bed and basic cooking facilities. Had a great weekend - Snowdon on Saturday via the Watkin Path (a short walk along the road to the start of the path) followed by a walk over the lower hills the other side of the road into Beddgelert via Pont Aberglaslyn.",5,5.0,5.0,5.0,,,,OR
Best glamping experience ever!,"Me and a friend went to climb snowdon for sunrise and what a wonderful place to stay. 
Close to the base of snowdon and lots of other things to do in the are. 
The pods are lovely, the facilities are great… has everything you could need or want. Was easy to book and the owners are so nice. 
Really helpful and full of local information for your visit to wales. Had the best nights sleep and I can’t wait to come stay again. 5 out of 5!",5,,,,,,,OR
